                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86517,                 2.0075,                 1.2099,                0.79198,                0.86292,                 0.8825,                0.65358,                0.87684,                 1.3193,                 1.1436,              0.0033247,              0.0033247,              0.0033247
                      2,                0.79466,                 1.1936,                 1.1461,                0.74565,                0.83144,                0.84407,                0.57143,                 1.1447,                 1.2475,                 1.3821,              0.0066031,              0.0066031,              0.0066031
                      3,                0.89373,                 1.1207,                 1.1982,                0.51615,                0.68404,                0.54095,                0.26903,                  1.583,                 1.7262,                 1.7422,              0.0098265,              0.0098265,              0.0098265
                      4,                0.95805,                 1.1147,                 1.2459,                0.58628,                0.59795,                0.59443,                0.29328,                 1.5462,                 1.5986,                 1.7358,              0.0097525,              0.0097525,              0.0097525
                      5,                0.93076,                 1.0351,                 1.2248,                 0.4975,                 0.7164,                0.54542,                 0.2561,                 1.5576,                 1.4465,                 1.7599,              0.0097525,              0.0097525,              0.0097525
                      6,                  0.872,                0.95615,                 1.1869,                0.63725,                 0.7703,                0.73215,                0.41446,                 1.4528,                 1.2701,                 1.6461,                0.00967,                0.00967,                0.00967
                      7,                0.83166,                0.90505,                 1.1639,                0.66366,                0.76411,                0.75963,                0.41809,                  1.555,                 1.2253,                 1.6607,              0.0095875,              0.0095875,              0.0095875
                      8,                0.81561,                 0.8663,                 1.1569,                 0.6751,                0.78474,                0.79441,                0.50924,                 1.2564,                 1.0691,                 1.4415,               0.009505,               0.009505,               0.009505
                      9,                0.77883,                0.82023,                 1.1364,                0.78575,                0.84966,                0.83087,                0.51954,                 1.1919,                 0.9218,                 1.4075,              0.0094225,              0.0094225,              0.0094225
                     10,                0.76548,                 0.7964,                 1.1304,                0.63959,                0.76403,                0.70428,                0.35687,                 1.4563,                 1.0927,                 1.6147,                0.00934,                0.00934,                0.00934
                     11,                0.74214,                0.75759,                 1.1096,                0.69856,                0.73349,                0.73869,                0.40119,                 1.4467,                 1.2365,                 1.6218,              0.0092575,              0.0092575,              0.0092575
                     12,                0.73887,                0.74533,                 1.1114,                0.81234,                0.85786,                0.86146,                0.50599,                 1.3278,                0.91821,                 1.5419,               0.009175,               0.009175,               0.009175
                     13,                0.70027,                0.72001,                 1.0877,                0.68555,                0.80866,                0.76424,                 0.4331,                 1.3068,                 1.0955,                 1.4521,              0.0090925,              0.0090925,              0.0090925
                     14,                0.69364,                0.69513,                 1.0849,                0.80605,                0.78103,                0.85808,                0.56869,                 1.1952,                 1.0609,                 1.4198,                0.00901,                0.00901,                0.00901
                     15,                0.68157,                0.68315,                  1.077,                0.78043,                0.84206,                 0.8394,                0.48838,                 1.3204,                0.97484,                 1.4943,              0.0089275,              0.0089275,              0.0089275
                     16,                0.66749,                0.65817,                 1.0688,                0.83683,                0.87358,                0.88994,                0.59411,                  1.173,                0.83115,                 1.3719,               0.008845,               0.008845,               0.008845
                     17,                0.66597,                0.64948,                 1.0695,                0.75509,                0.77254,                0.82058,                0.50192,                 1.3732,                 1.1305,                 1.5199,              0.0087625,              0.0087625,              0.0087625
                     18,                 0.6495,                0.64035,                 1.0562,                0.78878,                0.86902,                0.83645,                0.53519,                 1.1965,                0.91536,                 1.3909,                0.00868,                0.00868,                0.00868
                     19,                0.64933,                0.62819,                 1.0588,                0.51279,                0.62984,                 0.4285,                0.25703,                 1.8512,                 1.6537,                 1.9297,              0.0085975,              0.0085975,              0.0085975
                     20,                0.63754,                0.61849,                 1.0501,                0.69991,                 0.7574,                0.74547,                 0.4556,                 1.3681,                 1.2568,                 1.5106,               0.008515,               0.008515,               0.008515
                     21,                0.63008,                 0.6101,                 1.0524,                   0.69,                0.81663,                0.72705,                0.45836,                 1.4233,                 1.2632,                 1.5986,              0.0084325,              0.0084325,              0.0084325
                     22,                0.61662,                0.58924,                  1.038,                0.82022,                0.82802,                 0.8926,                 0.5916,                 1.2188,                0.87965,                 1.4175,                0.00835,                0.00835,                0.00835
                     23,                 0.6041,                0.59356,                 1.0391,                0.76802,                 0.8041,                0.83158,                0.50678,                 1.3452,                 1.0366,                 1.4971,              0.0082675,              0.0082675,              0.0082675
                     24,                0.60247,                0.57136,                 1.0342,                0.80291,                 0.7779,                0.84835,                0.57181,                 1.2167,                0.97152,                 1.4118,               0.008185,               0.008185,               0.008185
                     25,                0.60371,                0.56936,                 1.0363,                0.88289,                0.88442,                0.92308,                0.59684,                   1.21,                 0.7572,                  1.343,              0.0081025,              0.0081025,              0.0081025
                     26,                0.59144,                0.56372,                 1.0266,                0.84087,                0.85194,                0.89196,                0.60191,                 1.1455,                0.96821,                 1.3547,                0.00802,                0.00802,                0.00802
                     27,                0.58526,                 0.5527,                 1.0295,                0.89862,                0.87927,                0.91291,                0.60417,                 1.1562,                0.74979,                  1.348,              0.0079375,              0.0079375,              0.0079375
                     28,                 0.5863,                0.54921,                 1.0286,                0.70137,                0.78377,                0.79401,                0.52015,                 1.3181,                 1.0569,                 1.4673,               0.007855,               0.007855,               0.007855
                     29,                0.58916,                0.55313,                 1.0289,                0.82388,                 0.9111,                0.88351,                0.58122,                 1.1358,                 0.7834,                 1.3255,              0.0077725,              0.0077725,              0.0077725
                     30,                0.58199,                0.54168,                 1.0221,                0.83657,                 0.8451,                0.90857,                0.62325,                 1.0814,                0.85558,                 1.3048,                0.00769,                0.00769,                0.00769
                     31,                0.56701,                0.53087,                 1.0258,                0.88742,                0.84396,                0.90921,                0.64274,                 1.0582,                0.72251,                 1.2737,              0.0076075,              0.0076075,              0.0076075
                     32,                0.56898,                0.52668,                 1.0166,                0.88393,                0.91072,                0.93657,                0.62659,                 1.1474,                 0.6725,                 1.3715,               0.007525,               0.007525,               0.007525
                     33,                0.55751,                0.52252,                 1.0095,                0.81613,                0.86955,                0.89968,                0.58452,                 1.2758,                0.89518,                 1.4724,              0.0074425,              0.0074425,              0.0074425
                     34,                 0.5654,                0.52037,                 1.0155,                0.81699,                0.90205,                0.90101,                0.59809,                 1.1665,                0.84186,                 1.3997,                0.00736,                0.00736,                0.00736
                     35,                0.54349,                0.50588,                 1.0055,                0.82843,                0.86788,                0.88514,                0.55001,                  1.276,                0.88773,                 1.4922,              0.0072775,              0.0072775,              0.0072775
                     36,                0.54975,                0.50131,                 1.0107,                0.89829,                0.93547,                0.92744,                0.62418,                 1.0714,                0.64664,                 1.2597,               0.007195,               0.007195,               0.007195
                     37,                0.54956,                0.50499,                  1.001,                 0.8538,                0.86902,                 0.8809,                 0.5415,                  1.269,                0.85402,                 1.4684,              0.0071125,              0.0071125,              0.0071125
                     38,                0.53516,                0.48796,                 1.0069,                0.84714,                0.87358,                 0.8904,                 0.5879,                 1.1573,                0.82893,                 1.3371,                0.00703,                0.00703,                0.00703
                     39,                0.53301,                0.48522,                0.99466,                0.82309,                0.86905,                0.87288,                0.56395,                 1.2114,                0.81875,                 1.3558,              0.0069475,              0.0069475,              0.0069475
                     40,                0.53413,                0.48866,                  1.004,                0.85972,                0.87472,                 0.9079,                0.60538,                 1.1515,                0.73127,                  1.332,               0.006865,               0.006865,               0.006865
                     41,                0.52968,                0.47683,                0.99825,                0.81391,                 0.8508,                0.88205,                0.57011,                 1.2236,                0.84722,                  1.393,              0.0067825,              0.0067825,              0.0067825
                     42,                0.52856,                0.48775,                0.99883,                0.83528,                0.87813,                0.88555,                0.58621,                 1.1474,                0.77085,                 1.3628,                 0.0067,                 0.0067,                 0.0067
                     43,                0.52102,                 0.4721,                0.99285,                0.81098,                0.85308,                0.88113,                0.58659,                 1.1853,                0.82774,                 1.3504,              0.0066175,              0.0066175,              0.0066175
                     44,                0.52044,                0.46742,                0.99188,                0.85786,                0.86674,                0.89426,                0.62576,                 1.0993,                0.85413,                 1.3052,               0.006535,               0.006535,               0.006535
                     45,                0.50989,                0.48233,                0.98685,                0.86275,                0.90888,                0.92744,                0.67164,                 1.0473,                0.67036,                 1.2648,              0.0064525,              0.0064525,              0.0064525
                     46,                0.51719,                0.46243,                0.98959,                0.86707,                0.84738,                0.89846,                0.59167,                 1.2157,                0.78949,                 1.3969,                0.00637,                0.00637,                0.00637
                     47,                0.50671,                0.45723,                0.98859,                0.80324,                0.91002,                0.88395,                0.59263,                 1.1846,                0.74968,                 1.3865,              0.0062875,              0.0062875,              0.0062875
                     48,                0.50073,                0.45346,                0.98588,                0.74034,                0.80068,                0.79579,                0.48287,                 1.2334,                0.94215,                 1.4281,               0.006205,               0.006205,               0.006205
                     49,                0.51114,                0.45662,                0.98624,                0.84654,                0.87332,                0.89575,                 0.5886,                  1.198,                0.75145,                 1.4114,              0.0061225,              0.0061225,              0.0061225
                     50,                0.49885,                0.45064,                 0.9846,                0.75364,                0.84055,                0.81949,                0.52929,                 1.2965,                0.90989,                  1.477,                0.00604,                0.00604,                0.00604
                     51,                0.48833,                0.43999,                0.97728,                0.72994,                0.80866,                0.78708,                0.50753,                 1.3008,                 1.0385,                 1.4825,              0.0059575,              0.0059575,              0.0059575
                     52,                0.49693,                0.43714,                0.97827,                  0.857,                0.84642,                0.88653,                0.59431,                 1.1524,                0.82746,                  1.343,               0.005875,               0.005875,               0.005875
                     53,                0.48947,                0.44065,                0.98117,                0.82137,                0.84055,                0.87679,                0.56642,                 1.2441,                0.80964,                 1.4176,              0.0057925,              0.0057925,              0.0057925
                     54,                0.48276,                0.43413,                0.97409,                0.86281,                0.87358,                0.90011,                0.59445,                 1.1213,                0.75158,                 1.3284,                0.00571,                0.00571,                0.00571
                     55,                0.48963,                0.42944,                0.97541,                0.86304,                0.86219,                0.89667,                0.61595,                 1.0905,                0.74513,                 1.2953,              0.0056275,              0.0056275,              0.0056275
                     56,                0.48411,                0.42216,                0.97332,                 0.8638,                0.90433,                0.92461,                0.63939,                  1.106,                0.72216,                  1.299,               0.005545,               0.005545,               0.005545
                     57,                0.48143,                0.42082,                0.97173,                0.85459,                0.91031,                0.91009,                0.60223,                 1.1455,                0.68389,                 1.3454,              0.0054625,              0.0054625,              0.0054625
                     58,                0.48114,                0.41209,                0.97653,                0.84656,                0.84055,                0.88303,                0.57606,                 1.1912,                0.77588,                 1.3659,                0.00538,                0.00538,                0.00538
                     59,                0.47649,                0.42043,                0.97102,                0.85763,                0.91251,                 0.9251,                0.63436,                 1.1343,                0.70453,                 1.3128,              0.0052975,              0.0052975,              0.0052975
                     60,                0.46914,                0.41325,                0.96506,                0.84151,                0.91116,                0.92449,                0.65192,                 1.1117,                0.72676,                 1.3184,               0.005215,               0.005215,               0.005215
                     61,                 0.4745,                0.41731,                0.96671,                0.78714,                0.86339,                0.87257,                0.59015,                 1.2457,                  0.836,                 1.4505,              0.0051325,              0.0051325,              0.0051325
                     62,                0.47059,                0.40546,                0.96523,                0.83627,                  0.797,                0.85983,                0.56875,                 1.2203,                0.94941,                 1.4047,                0.00505,                0.00505,                0.00505
                     63,                0.46692,                0.40861,                 0.9648,                0.82313,                0.86401,                 0.8843,                0.61699,                 1.1354,                0.78459,                 1.3347,              0.0049675,              0.0049675,              0.0049675
                     64,                0.46348,                0.40622,                0.96397,                0.77105,                0.82853,                0.83788,                0.56249,                 1.2291,                0.93489,                 1.3847,               0.004885,               0.004885,               0.004885
                     65,                0.46672,                0.40602,                0.96866,                0.77634,                0.83023,                0.84666,                0.57697,                  1.147,                0.89764,                 1.3434,              0.0048025,              0.0048025,              0.0048025
                     66,                0.44896,                 0.3894,                0.96144,                0.84175,                0.85422,                0.89154,                0.59287,                 1.1458,                0.79217,                 1.3675,                0.00472,                0.00472,                0.00472
                     67,                0.45303,                0.38875,                0.96019,                0.86812,                0.83599,                0.89456,                0.60064,                 1.1805,                0.86694,                  1.394,              0.0046375,              0.0046375,              0.0046375
                     68,                0.45231,                0.38803,                0.96111,                0.84416,                0.84525,                0.89497,                0.59876,                  1.235,                0.84384,                 1.4128,               0.004555,               0.004555,               0.004555
                     69,                 0.4489,                0.39384,                0.96193,                0.82555,                0.85421,                0.88131,                0.59836,                 1.1495,                0.82877,                 1.3476,              0.0044725,              0.0044725,              0.0044725
                     70,                0.43479,                0.37837,                0.95397,                0.80081,                0.87585,                0.88324,                0.59868,                 1.1849,                0.78029,                  1.364,                0.00439,                0.00439,                0.00439
                     71,                0.44044,                0.37874,                0.95742,                0.79929,                0.86178,                0.88277,                0.60916,                 1.1667,                0.85488,                 1.3629,              0.0043075,              0.0043075,              0.0043075
                     72,                0.44545,                0.38413,                0.95856,                0.82864,                0.84819,                0.88922,                0.61739,                 1.1202,                0.89475,                 1.3346,               0.004225,               0.004225,               0.004225
                     73,                 0.4405,                0.37617,                0.95881,                0.83347,                0.83226,                0.86961,                0.61203,                 1.0449,                0.95154,                 1.2766,              0.0041425,              0.0041425,              0.0041425
                     74,                0.43315,                0.37453,                0.95264,                0.83834,                0.87585,                0.89281,                0.62747,                 1.0634,                0.80476,                  1.285,                0.00406,                0.00406,                0.00406
                     75,                0.43578,                0.37212,                0.95264,                 0.8685,                0.91771,                0.92588,                0.64541,                 1.0879,                0.69268,                 1.3171,              0.0039775,              0.0039775,              0.0039775
                     76,                0.43011,                0.36501,                0.94695,                0.86684,                 0.9194,                0.92383,                0.64461,                 1.0776,                0.68557,                  1.291,               0.003895,               0.003895,               0.003895
                     77,                0.42589,                0.35697,                0.94728,                0.79592,                0.86788,                0.87283,                0.59846,                 1.1211,                0.80838,                 1.3369,              0.0038125,              0.0038125,              0.0038125
                     78,                0.42144,                0.36088,                0.94808,                 0.8153,                0.86473,                0.87457,                0.58255,                  1.176,                0.84121,                 1.3919,                0.00373,                0.00373,                0.00373
                     79,                 0.4191,                0.35831,                0.94727,                0.83563,                0.86856,                0.88032,                 0.6019,                 1.1697,                0.79091,                 1.3979,              0.0036475,              0.0036475,              0.0036475
                     80,                0.41863,                0.35374,                0.94289,                0.84784,                0.88211,                0.90495,                0.63222,                 1.1099,                0.76645,                 1.3268,               0.003565,               0.003565,               0.003565
                     81,                0.40894,                0.34758,                0.94123,                0.85002,                0.86501,                0.89373,                0.60412,                 1.1533,                0.82158,                 1.3617,              0.0034825,              0.0034825,              0.0034825
                     82,                 0.4114,                 0.3541,                0.94421,                0.84158,                0.90152,                0.90488,                0.61598,                 1.1465,                0.74376,                 1.3446,                 0.0034,                 0.0034,                 0.0034
                     83,                0.42302,                0.36015,                0.94853,                0.83167,                0.87699,                0.88968,                0.60492,                 1.1689,                0.79687,                 1.3839,              0.0033175,              0.0033175,              0.0033175
                     84,                0.41694,                0.34794,                0.94552,                0.84989,                0.87244,                0.89545,                0.61084,                 1.1514,                 0.7845,                 1.3368,               0.003235,               0.003235,               0.003235
                     85,                0.40988,                0.33814,                0.94103,                0.86673,                0.91109,                0.92061,                0.65698,                 1.0854,                0.71223,                 1.2882,              0.0031525,              0.0031525,              0.0031525
                     86,                 0.4083,                0.34737,                0.93862,                0.88219,                0.89749,                0.92622,                0.65547,                 1.1044,                0.74176,                 1.3158,                0.00307,                0.00307,                0.00307
                     87,                0.40252,                0.34064,                0.93876,                0.87182,                0.89859,                 0.9194,                0.65134,                 1.0949,                0.68759,                 1.3043,              0.0029875,              0.0029875,              0.0029875
                     88,                 0.4031,                0.33693,                0.94257,                0.87431,                0.87585,                0.90879,                0.65414,                 1.0919,                0.68171,                 1.3213,               0.002905,               0.002905,               0.002905
                     89,                0.40644,                0.33469,                0.93935,                0.85849,                0.85649,                0.89535,                0.62838,                 1.1098,                0.73757,                 1.3404,              0.0028225,              0.0028225,              0.0028225
                     90,                0.39686,                0.33141,                0.93751,                0.87461,                0.84282,                0.89029,                0.61195,                 1.1364,                 0.7623,                 1.3774,                0.00274,                0.00274,                0.00274
                     91,                0.40082,                0.33683,                0.94186,                0.84775,                0.86674,                0.88416,                0.59971,                  1.185,                 0.7817,                 1.4248,              0.0026575,              0.0026575,              0.0026575
                     92,                0.39577,                0.33405,                0.93573,                0.85281,                0.87109,                0.89223,                0.60778,                 1.1844,                0.78834,                 1.4178,               0.002575,               0.002575,               0.002575
                     93,                0.39143,                0.32586,                0.93337,                  0.842,                0.86189,                0.88784,                0.60611,                 1.1682,                0.81593,                 1.3922,              0.0024925,              0.0024925,              0.0024925
                     94,                0.38794,                0.32721,                0.92964,                0.83091,                0.86752,                0.87799,                0.59899,                 1.1754,                0.86152,                  1.399,                0.00241,                0.00241,                0.00241
                     95,                0.39047,                0.32134,                0.93077,                0.82288,                 0.8656,                0.88207,                0.61044,                 1.1714,                0.83557,                 1.3898,              0.0023275,              0.0023275,              0.0023275
